fecha,body.counting
2025-12-04 03:00:00,20.0
2025-12-04 03:15:00,5.0
2025-12-04 03:30:00,2.0
2025-12-04 03:45:00,10.0
2025-12-04 04:00:00,9.0
2025-12-04 04:15:00,4.0
2025-12-04 04:30:00,15.0
2025-12-04 04:45:00,7.0
2025-12-04 05:00:00,9.0
2025-12-04 05:15:00,4.0
2025-12-04 05:30:00,7.0
2025-12-04 05:45:00,4.0
2025-12-04 06:00:00,8.0
2025-12-04 06:15:00,6.0
2025-12-04 06:30:00,10.0
2025-12-04 06:45:00,11.0
2025-12-04 07:00:00,5.0
2025-12-04 07:15:00,14.0
2025-12-04 07:30:00,20.0
2025-12-04 07:45:00,11.0
2025-12-04 08:00:00,19.0
2025-12-04 08:15:00,12.0
2025-12-04 08:30:00,18.0
2025-12-04 08:45:00,13.0
2025-12-04 09:00:00,18.0
2025-12-04 09:15:00,20.0
2025-12-04 09:30:00,21.0
2025-12-04 09:45:00,27.0
2025-12-04 10:00:00,35.0
2025-12-04 10:15:00,29.0
2025-12-04 10:30:00,48.0
2025-12-04 10:45:00,39.0
2025-12-04 11:00:00,9.0
2025-12-04 11:15:00,24.0
2025-12-04 11:30:00,35.0
2025-12-04 11:45:00,38.0
2025-12-04 12:00:00,31.0
2025-12-04 12:15:00,51.0
2025-12-04 12:30:00,40.0
2025-12-04 12:45:00,12.0
2025-12-04 13:00:00,62.0
2025-12-04 13:15:00,30.0
2025-12-04 13:30:00,20.0
2025-12-04 13:45:00,16.0
2025-12-04 14:00:00,17.0
2025-12-04 14:15:00,27.0
2025-12-04 14:30:00,30.0
2025-12-04 14:45:00,33.0
2025-12-04 15:00:00,47.0
2025-12-04 15:15:00,66.0
2025-12-04 15:30:00,22.0
2025-12-04 15:45:00,34.0
2025-12-04 16:00:00,19.0
2025-12-04 16:15:00,17.0
2025-12-04 16:30:00,5.0
2025-12-04 16:45:00,28.0
2025-12-04 17:00:00,62.0
2025-12-04 17:15:00,18.0
2025-12-04 17:30:00,14.0
2025-12-04 17:45:00,26.0
2025-12-04 18:00:00,12.0
2025-12-04 18:15:00,27.0
2025-12-04 18:30:00,12.0
2025-12-04 18:45:00,12.0
2025-12-04 19:00:00,35.0
2025-12-04 19:15:00,40.0
2025-12-04 19:30:00,25.0
2025-12-04 19:45:00,77.0
2025-12-04 20:00:00,55.0
2025-12-04 20:15:00,40.0
2025-12-04 20:30:00,38.0
2025-12-04 20:45:00,29.0
2025-12-04 21:00:00,25.0
2025-12-04 21:15:00,33.0
2025-12-04 21:30:00,14.0
2025-12-04 21:45:00,28.0
2025-12-04 22:00:00,17.0
2025-12-04 22:15:00,23.0
2025-12-04 22:30:00,25.0
2025-12-04 22:45:00,33.0
2025-12-04 23:00:00,42.0
2025-12-04 23:15:00,23.0
2025-12-04 23:30:00,19.0
2025-12-04 23:45:00,19.0
2025-12-05 00:00:00,15.0
2025-12-05 00:15:00,18.0
2025-12-05 00:30:00,12.0
2025-12-05 00:45:00,7.0
2025-12-05 01:00:00,30.0
2025-12-05 01:15:00,37.0
2025-12-05 01:30:00,13.0
2025-12-05 01:45:00,12.0
2025-12-05 02:00:00,16.0
2025-12-05 02:15:00,19.0
2025-12-05 02:30:00,14.0
2025-12-05 02:45:00,24.0
2025-12-05 03:00:00,20.0
2025-12-05 03:15:00,15.0
2025-12-05 03:30:00,4.0
2025-12-05 03:45:00,8.0
2025-12-05 04:00:00,5.0
2025-12-05 04:15:00,5.0
2025-12-05 04:30:00,4.0
2025-12-05 04:45:00,8.0
2025-12-05 05:00:00,9.0
2025-12-05 05:15:00,5.0
2025-12-05 05:30:00,2.0
2025-12-05 05:45:00,5.0
2025-12-05 06:00:00,5.0
2025-12-05 06:15:00,0.0
2025-12-05 06:30:00,10.0
2025-12-05 06:45:00,5.0
2025-12-05 07:00:00,3.0
2025-12-05 07:15:00,5.0
2025-12-05 07:30:00,7.0
2025-12-05 07:45:00,6.0
2025-12-05 08:00:00,4.0
2025-12-05 08:15:00,15.0
2025-12-05 08:30:00,14.0
2025-12-05 08:45:00,25.0
2025-12-05 09:00:00,34.0
2025-12-05 09:15:00,37.0
2025-12-05 09:30:00,77.0
2025-12-05 09:45:00,21.0
2025-12-05 10:00:00,62.0
2025-12-05 10:15:00,16.0
2025-12-05 10:30:00,21.0
2025-12-05 10:45:00,20.0
2025-12-05 11:00:00,10.0
2025-12-05 11:15:00,21.0
2025-12-05 11:30:00,6.0
2025-12-05 11:45:00,20.0
2025-12-05 12:00:00,8.0
2025-12-05 12:15:00,24.0
2025-12-05 12:30:00,13.0
2025-12-05 12:45:00,7.0
2025-12-05 13:00:00,17.0
2025-12-05 13:15:00,10.0
2025-12-05 13:30:00,16.0
2025-12-05 13:45:00,12.0
2025-12-05 14:00:00,17.0
2025-12-05 14:15:00,48.0
2025-12-05 14:30:00,20.0
2025-12-05 14:45:00,52.0
2025-12-05 15:00:00,34.0
2025-12-05 15:15:00,15.0
2025-12-05 15:30:00,28.0
2025-12-05 15:45:00,46.0
2025-12-05 16:00:00,16.0
2025-12-05 16:15:00,43.0
2025-12-05 16:30:00,16.0
2025-12-05 16:45:00,26.0
2025-12-05 17:00:00,35.0
2025-12-05 17:15:00,25.0
2025-12-05 17:30:00,3.0
2025-12-05 17:45:00,9.0
2025-12-05 18:00:00,8.0
2025-12-05 18:15:00,27.0
2025-12-05 18:30:00,25.0
2025-12-05 18:45:00,22.0
2025-12-05 19:00:00,24.0
2025-12-05 19:15:00,23.0
2025-12-05 19:30:00,19.0
2025-12-05 19:45:00,2.0
2025-12-05 20:00:00,27.0
2025-12-05 20:15:00,40.0
2025-12-05 20:30:00,39.0
2025-12-05 20:45:00,44.0
2025-12-05 21:00:00,41.0
2025-12-05 21:15:00,32.0
2025-12-05 21:30:00,57.0
2025-12-05 21:45:00,33.0
2025-12-05 22:00:00,39.0
2025-12-05 22:15:00,17.0
2025-12-05 22:30:00,22.0
2025-12-05 22:45:00,48.0
2025-12-05 23:00:00,31.0
2025-12-05 23:15:00,37.0
2025-12-05 23:30:00,111.0
2025-12-05 23:45:00,20.0
2025-12-06 00:00:00,20.0
2025-12-06 00:15:00,50.0
2025-12-06 00:30:00,17.0
2025-12-06 00:45:00,7.0
2025-12-06 01:00:00,44.0
2025-12-06 01:15:00,26.0
2025-12-06 01:30:00,16.0
2025-12-06 01:45:00,2.0
2025-12-06 02:00:00,44.0
2025-12-06 02:15:00,6.0
2025-12-06 02:30:00,9.0
2025-12-06 02:45:00,16.0
2025-12-06 03:00:00,14.0
2025-12-06 03:15:00,17.0
2025-12-06 03:30:00,6.0
2025-12-06 03:45:00,17.0
2025-12-06 04:00:00,17.0
2025-12-06 04:15:00,5.0
2025-12-06 04:30:00,11.0
2025-12-06 04:45:00,26.0
2025-12-06 05:00:00,19.0
2025-12-06 05:15:00,11.0
2025-12-06 05:30:00,9.0
2025-12-06 05:45:00,19.0
2025-12-06 06:00:00,9.0
2025-12-06 06:15:00,14.0
2025-12-06 06:30:00,15.0
2025-12-06 06:45:00,12.0
2025-12-06 07:00:00,11.0
2025-12-06 07:15:00,12.0
2025-12-06 07:30:00,42.0
2025-12-06 07:45:00,17.0
2025-12-06 08:00:00,6.0
2025-12-06 08:15:00,32.0
2025-12-06 08:30:00,41.0
2025-12-06 08:45:00,10.0
2025-12-06 09:00:00,29.0
2025-12-06 09:15:00,17.0
2025-12-06 09:30:00,18.0
2025-12-06 09:45:00,23.0
2025-12-06 10:00:00,8.0
2025-12-06 10:15:00,47.0
2025-12-06 10:30:00,24.0
2025-12-06 10:45:00,7.0
2025-12-06 11:00:00,21.0
2025-12-06 11:15:00,22.0
2025-12-06 11:30:00,30.0
2025-12-06 11:45:00,18.0
2025-12-06 12:00:00,21.0
2025-12-06 12:15:00,16.0
2025-12-06 12:30:00,9.0
2025-12-06 12:45:00,26.0
2025-12-06 13:00:00,18.0
2025-12-06 13:15:00,13.0
2025-12-06 13:30:00,21.0
2025-12-06 13:45:00,18.0
2025-12-06 14:00:00,50.0
2025-12-06 14:15:00,34.0
2025-12-06 14:30:00,28.0
2025-12-06 14:45:00,34.0
2025-12-06 15:00:00,14.0
2025-12-06 15:15:00,28.0
2025-12-06 15:30:00,16.0
2025-12-06 15:45:00,42.0
2025-12-06 16:00:00,15.0
2025-12-06 16:15:00,27.0
2025-12-06 16:30:00,41.0
2025-12-06 16:45:00,24.0
2025-12-06 17:00:00,6.0
2025-12-06 17:15:00,1.0
2025-12-06 17:30:00,18.0
2025-12-06 17:45:00,36.0
2025-12-06 18:00:00,26.0
2025-12-06 18:15:00,26.0
2025-12-06 18:30:00,23.0
2025-12-06 18:45:00,19.0
2025-12-06 19:00:00,15.0
2025-12-06 19:15:00,14.0
2025-12-06 19:30:00,24.0
2025-12-06 19:45:00,15.0
2025-12-06 20:00:00,26.0
2025-12-06 20:15:00,6.0
2025-12-06 20:30:00,18.0
2025-12-06 20:45:00,21.0
2025-12-06 21:00:00,15.0
2025-12-06 21:15:00,15.0
2025-12-06 21:30:00,39.0
2025-12-06 21:45:00,27.0
2025-12-06 22:00:00,27.0
2025-12-06 22:15:00,5.0
2025-12-06 22:30:00,17.0
2025-12-06 22:45:00,28.0
2025-12-06 23:00:00,29.0
2025-12-06 23:15:00,11.0
2025-12-06 23:30:00,62.0
2025-12-06 23:45:00,17.0
2025-12-07 00:00:00,40.0
2025-12-07 00:15:00,17.0
2025-12-07 00:30:00,35.0
2025-12-07 00:45:00,4.0
2025-12-07 01:00:00,11.0
2025-12-07 01:15:00,12.0
2025-12-07 01:30:00,6.0
2025-12-07 01:45:00,6.0
2025-12-07 02:00:00,28.0
2025-12-07 02:15:00,14.0
2025-12-07 02:30:00,18.0
2025-12-07 02:45:00,6.0
2025-12-07 03:00:00,19.0
2025-12-07 03:15:00,5.0
2025-12-07 03:30:00,12.0
2025-12-07 03:45:00,16.0
2025-12-07 04:00:00,9.0
2025-12-07 04:15:00,12.0
2025-12-07 04:30:00,9.0
2025-12-07 04:45:00,13.0
2025-12-07 05:00:00,11.0
2025-12-07 05:15:00,7.0
2025-12-07 05:30:00,12.0
2025-12-07 05:45:00,7.0
2025-12-07 06:00:00,18.0
2025-12-07 06:15:00,11.0
2025-12-07 06:30:00,6.0
2025-12-07 06:45:00,8.0
2025-12-07 07:00:00,3.0
2025-12-07 07:15:00,12.0
2025-12-07 07:30:00,4.0
2025-12-07 07:45:00,12.0
2025-12-07 08:00:00,9.0
2025-12-07 08:15:00,10.0
2025-12-07 08:30:00,10.0
2025-12-07 08:45:00,8.0
2025-12-07 09:00:00,8.0
2025-12-07 09:15:00,6.0
2025-12-07 09:30:00,14.0
2025-12-07 09:45:00,9.0
2025-12-07 10:00:00,10.0
2025-12-07 10:15:00,18.0
2025-12-07 10:30:00,9.0
2025-12-07 10:45:00,23.0
2025-12-07 11:00:00,12.0
2025-12-07 11:15:00,13.0
2025-12-07 11:30:00,9.0
2025-12-07 11:45:00,29.0
2025-12-07 12:00:00,9.0
2025-12-07 12:15:00,23.0
2025-12-07 12:30:00,8.0
2025-12-07 12:45:00,9.0
2025-12-07 13:00:00,6.0
2025-12-07 13:15:00,18.0
2025-12-07 13:30:00,27.0
2025-12-07 13:45:00,25.0
2025-12-07 14:00:00,7.0
2025-12-07 14:15:00,24.0
2025-12-07 14:30:00,19.0
2025-12-07 14:45:00,15.0
2025-12-07 15:00:00,14.0
2025-12-07 15:15:00,14.0
2025-12-07 15:30:00,23.0
2025-12-07 15:45:00,17.0
2025-12-07 16:00:00,20.0
2025-12-07 16:15:00,9.0
2025-12-07 16:30:00,7.0
2025-12-07 16:45:00,12.0
2025-12-07 17:00:00,9.0
2025-12-07 17:15:00,17.0
2025-12-07 17:30:00,13.0
2025-12-07 17:45:00,5.0
2025-12-07 18:00:00,12.0
2025-12-07 18:15:00,4.0
2025-12-07 18:30:00,5.0
2025-12-07 18:45:00,11.0
2025-12-07 19:00:00,6.0
2025-12-07 19:15:00,17.0
2025-12-07 19:30:00,22.0
2025-12-07 19:45:00,28.0
2025-12-07 20:00:00,20.0
2025-12-07 20:15:00,21.0
2025-12-07 20:30:00,10.0
2025-12-07 20:45:00,20.0
2025-12-07 21:00:00,23.0
2025-12-07 21:15:00,12.0
2025-12-07 21:30:00,32.0
2025-12-07 21:45:00,8.0
2025-12-07 22:00:00,16.0
2025-12-07 22:15:00,30.0
2025-12-07 22:30:00,16.0
2025-12-07 22:45:00,35.0
2025-12-07 23:00:00,30.0
2025-12-07 23:15:00,10.0
2025-12-07 23:30:00,32.0
2025-12-07 23:45:00,17.0
2025-12-08 00:00:00,2.0
2025-12-08 00:15:00,19.0
2025-12-08 00:30:00,27.0
2025-12-08 00:45:00,6.0
2025-12-08 01:00:00,76.0
2025-12-08 01:15:00,15.0
2025-12-08 01:30:00,29.0
2025-12-08 01:45:00,24.0
2025-12-08 02:00:00,9.0
2025-12-08 02:15:00,26.0
2025-12-08 02:30:00,16.0
2025-12-08 02:45:00,8.0
2025-12-08 03:00:00,13.0
2025-12-08 03:15:00,11.0
2025-12-08 03:30:00,19.0
2025-12-08 03:45:00,8.0
2025-12-08 04:00:00,4.0
2025-12-08 04:15:00,16.0
2025-12-08 04:30:00,17.0
2025-12-08 04:45:00,13.0
2025-12-08 05:00:00,12.0
2025-12-08 05:15:00,14.0
2025-12-08 05:30:00,11.0
2025-12-08 05:45:00,11.0
2025-12-08 06:00:00,13.0
2025-12-08 06:15:00,19.0
2025-12-08 06:30:00,6.0
2025-12-08 06:45:00,5.0
2025-12-08 07:00:00,4.0
2025-12-08 07:15:00,6.0
2025-12-08 07:30:00,9.0
2025-12-08 07:45:00,12.0
2025-12-08 08:00:00,9.0
2025-12-08 08:15:00,2.0
2025-12-08 08:30:00,5.0
2025-12-08 08:45:00,3.0
2025-12-08 09:00:00,8.0
2025-12-08 09:15:00,8.0
2025-12-08 09:30:00,5.0
2025-12-08 09:45:00,16.0
2025-12-08 10:00:00,17.0
2025-12-08 10:15:00,18.0
2025-12-08 10:30:00,12.0
2025-12-08 10:45:00,7.0
2025-12-08 11:00:00,34.0
2025-12-08 11:15:00,21.0
2025-12-08 11:30:00,5.0
2025-12-08 11:45:00,59.0
2025-12-08 12:00:00,14.0
2025-12-08 12:15:00,15.0
2025-12-08 12:30:00,35.0
2025-12-08 12:45:00,29.0
2025-12-08 13:00:00,23.0
2025-12-08 13:15:00,20.0
2025-12-08 13:30:00,18.0
2025-12-08 13:45:00,10.0
2025-12-08 14:00:00,38.0
2025-12-08 14:15:00,38.0
2025-12-08 14:30:00,21.0
2025-12-08 14:45:00,15.0
2025-12-08 15:00:00,17.0
2025-12-08 15:15:00,20.0
2025-12-08 15:30:00,22.0
2025-12-08 15:45:00,26.0
2025-12-08 16:00:00,57.0
2025-12-08 16:15:00,26.0
2025-12-08 16:30:00,5.0
2025-12-08 16:45:00,5.0
2025-12-08 17:00:00,16.0
